"A","Agriculture, forestry and fishing"
"M.69.1.0","Specialized design activities"
"M.69.2","Photographic activities"
"M.69.2.0","Photographic activities"
"M.69.9","Other professional, scientific and technical activities n.e.c."
"M.69.9.0","Other professional, scientific and technical activities n.e.c."
"M.69.9","Veterinary activities"
"M.69.0","Veterinary activities"
"M.69.0.0","Veterinary activities"
"N","Administrative and support service activities"
"N.77","Rental and leasing activities"
"N.77.1","Renting and leasing of motor vehicles"
"N.77.1.0","Renting and leasing of motor vehicles"
"N.77.2","Renting and leasing of personal and household goods"
"N.77.2.1","Renting and leasing of recreational and sports goods"
"N.77.2.2","Renting of video tapes and disks"
"N.77.2.9","Renting and leasing of other personal and household goods"
"N.77.3","Renting and leasing of other machinery, equipment and tangible goods"
"N.77.3.0","Renting and leasing of other machinery, equipment and tangible goods"
"N.77.4","Leasing of intellectual property and similar products, except copyrighted works"
"N.77.4.0","Leasing of intellectual property and similar products, except copyrighted works"
"N.77.4","Employment activities"
"N.77.1","Activities of employment placement agencies"
"N.77.1.0","Activities of employment placement agencies"
"N.77.2","Temporary employment agency activities"
"N.77.2.0","Temporary employment agency activities"
"N.77.3","Other human resources provision"
"N.77.3.0","Other human resources provision"
"N.77.3","Travel agency, tour operator, reservation service and related activities"
"N.77.1","Travel agency and tour operator activities"
"N.77.1.1","Travel agency activities"
"N.77.1.2","Tour operator activities"
"N.77.9","Other reservation service and related activities"
"N.77.9.0","Other reservation service and related activities"
"N.77.9","Security and investigation activities"
"N.77.1","Private security activities"
"N.77.1.0","Private security activities"
"N.77.2","Security systems service activities"
"N.77.2.0","Security systems service activities"
"N.77.3","Investigation activities"
"N.77.3.0","Investigation activities"
"N.77.3","Services to buildings and landscape activities"
"N.77.1","Combined facilities support activities"
"N.77.1.0","Combined facilities support activities"
"N.77.2","Cleaning activities"
"N.77.2.1","General cleaning of buildings"
"N.77.2.9","Other building and industrial cleaning activities"
"N.77.3","Landscape care and maintenance service activities"
"N.77.3.0","Landscape care and maintenance service activities"
"N.77.3","Office administrative, office support and other business support activities"
"N.77.1","Office administrative and support activities"
"N.77.1.1","Combined office administrative service activities"
"N.77.1.9","Photocopying, document preparation and other specialized office support activities"
"N.77.2","Activities of call centres"
"N.77.2.0","Activities of call centres"
"N.77.3","Organization of conventions and trade shows"
"N.77.3.0","Organization of conventions and trade shows"
"N.77.9","Business support service activities n.e.c."
"N.77.9.1","Activities of collection agencies and credit bureaus"
"N.77.9.2","Packaging activities"
"N.77.9.9","Other business support service activities n.e.c."
"O","Public administration and defence; compulsory social security"
"O.84","Public administration and defence; compulsory social security"
"O.84.1","Administration of the State and the economic and social policy of the community"
"O.84.1.1","General public administration activities"
"O.84.1.2","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
"O.84.1.3","Regulation of and contribution to more efficient operation of businesses"
"O.84.2","Provision of services to the community as a whole"
"O.84.2.1","Foreign affairs"
"O.84.2.2","Defence activities"
"O.84.2.3","Public order and safety activities"
"O.84.3","Compulsory social security activities"
"O.84.3.0","Compulsory social security activities"
"P","Education"
"P.85","Education"
"P.85.1","Pre-primary and primary education"
"P.85.1.0","Pre-primary and primary education"
"P.85.2","Secondary education"
"P.85.2.1","General secondary education"
"P.85.2.2","Technical and vocational secondary education"
"P.85.3","Higher education"
"P.85.3.0","Higher education"
"P.85.4","Other education"
"P.85.4.1","Sports and recreation education"
"P.85.4.2","Cultural education"
"P.85.4.9","Other education n.e.c."
"P.85.5","Educational support activities"
"P.85.5.0","Educational support activities"
"Q","Human health and social work activities"
"Q.86","Human health activities"
"Q.86.1","Hospital activities"
"Q.86.1.0","Hospital activities"
"Q.86.2","Medical and dental practice activities"
"Q.86.2.0","Medical and dental practice activities"
"Q.86.9","Other human health activities"
"Q.86.9.0","Other human health activities"
"Q.86.9","Residential care activities"
"Q.86.1","Residential nursing care facilities"
"Q.86.1.0","Residential nursing care facilities"
"Q.86.2","Residential care activities for mental retardation, mental health and substance abuse"
"Q.86.2.0","Residential care activities for mental retardation, mental health and substance abuse"
"Q.86.3","Residential care activities for the elderly and disabled"
"Q.86.3.0","Residential care activities for the elderly and disabled"
"Q.86.9","Other residential care activities"
"Q.86.9.0","Other residential care activities"
"Q.86.9","Social work activities without accommodation"
"Q.86.1","Social work activities without accommodation for the elderly and disabled"
"Q.86.1.0","Social work activities without accommodation for the elderly and disabled"
"Q.86.9","Other social work activities without accommodation"
"Q.86.9.0","Other social work activities without accommodation"
"R","Arts, entertainment and recreation"
"R.90","Creative, arts and entertainment activities"
"R.90.0","Creative, arts and entertainment activities"
"R.90.0.0","Creative, arts and entertainment activities"
"R.90.0","Libraries, archives, museums and other cultural activities"
"R.90.0","Libraries, archives, museums and other cultural activities"
"R.90.0.1","Library and archives activities"
"R.90.0.2","Museums activities and operation of historical sites and buildings"
"R.90.0.3","Botanical and zoological gardens and nature reserves activities"
"R.90.0","Gambling and betting activities"
"R.90.0","Gambling and betting activities"
"R.90.0.0","Gambling and betting activities"
"R.90.0","Sports activities and amusement and recreation activities"
"R.90.1","Sports activities"
"R.90.1.1","Operation of sports facilities"
"R.90.1.2","Activities of sports clubs"
"R.90.1.9","Other sports activities"
"R.90.2","Other amusement and recreation activities"
"R.90.2.1","Activities of amusement parks and theme parks"
"R.90.2.9","Other amusement and recreation activities n.e.c."
"S","Other service activities"
"S.94","Activities of membership organizations"
"S.94.1","Activities of business, employers and professional membership organizations"
"S.94.1.1","Activities of business and employers membership organizations"
"S.94.1.2","Activities of professional membership organizations"
"S.94.2","Activities of trade unions"
"S.94.2.0","Activities of trade unions"
"S.94.9","Activities of other membership organizations"
"S.94.9.1","Activities of religious organizations"
"S.94.9.2","Activities of political organizations"
"S.94.9.9","Activities of other membership organizations n.e.c."
"S.94.9","Repair of computers and personal and household goods"
"S.94.1","Repair of computers and communication equipment"
"S.94.1.1","Repair of computers and peripheral equipment"
"S.94.1.2","Repair of communication equipment"
"S.94.2","Repair of personal and household goods"
"S.94.2.1","Repair of consumer electronics"
"S.94.2.2","Repair of household appliances and home and garden equipment"
"S.94.2.3","Repair of footwear and leather goods"
"S.94.2.4","Repair of furniture and home furnishings"
"S.94.2.9","Repair of other personal and household goods"
"S.94.2","Other personal service activities"
"S.94.0","Other personal service activities"
"S.94.0.1","Washing and (dry-) cleaning of textile and fur products"
"S.94.0.2","Hairdressing and other beauty treatment"
"S.94.0.3","Funeral and related activities"
"S.94.0.9","Other personal service activities n.e.c."
"T","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
"T.97","Activities of households as employers of domestic personnel"
"T.97.0","Activities of households as employers of domestic personnel"
"T.97.0.0","Activities of households as employers of domestic personnel"
"T.97.0","Undifferentiated goods- and services-producing activities of private households for own use"
"T.97.1","Undifferentiated goods-producing activities of private households for own use"
"T.97.1.0","Undifferentiated goods-producing activities of private households for own use"
"T.97.2","Undifferentiated service-producing activities of private households for own use"
"T.97.2.0","Undifferentiated service-producing activities of private households for own use"
"U","Activities of extraterritorial organizations and bodies"
"U.99","Activities of extraterritorial organizations and bodies"
"U.99.0","Activities of extraterritorial organizations and bodies"
"U.99.0.0","Activities of extraterritorial organizations and bodies"
