organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"914870976","LYN & KONTRASTER AS","AS","Aksjeselskap","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","true","","","","","","","","","","c/o Thor Eirik Pedersen/nBarlindstien 14","RANDABERG","4072","RANDABERG","1127","Norge","NO","2100","Private aksjeselskaper mv.","2022","2015-01-27","2014-12-15","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2014-12-15","Konsulent, coach og instruktør. Utvikle og forbedre sikkerhets- og opplæringskonsepter for andre selskap. Kurs og opplæring innen selvforsvar, konflikthåndtering, personlighetsutvikling, livsfilosofi, helse og kost til næringslivet og private kunder. Samt annet som naturlig tilhører denne type virksomhet.","Konsulent, coach og instruktør"
"994725319","KLAR. AS","AS","Aksjeselskap","10.390","Bearbeiding og konservering av frukt og grønnsaker ellers","","","","","","","true","18","","","","","","","","","Leikvollbakken 1","RANDABERG","4073","RANDABERG","1127","Norge","NO","2100","Private aksjeselskaper mv.","2022","2009-11-03","2009-10-26","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2013-08-28","Drive ulike former for bearbeiding og konservering av grønnsaker, og alt som hermed står i forbindelse samt deltagelse i andre selskap med samme formål.","Drive ulike former for bearbeiding og konservering av grønnsaker, og alt som hermed står i forbindelse samt deltagelse i andre selskap med samme formål."
"851654062","AKERSHUS ØKONOMI AS","AS","Aksjeselskap","69.201","Regnskap og bokføring","","","","","","","true","","","Postboks 494","SANDVIKA","1302","BÆRUM","3201","Norge","NO","Løkketangen 20A","SANDVIKA","1337","BÆRUM","3201","Norge","NO","2100","Private aksjeselskaper mv.","2022","1995-02-19","1989-03-10","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2003-12-12","Å yte regnskapstjenester, inkasso av fordringer og tilby rådgivning og annen konsulentvirksomhet. Selskapet vil også kunne delta i andre selskaper samt drive kjøp og salg av fast eiendom, maskiner og utstyr.","Å yte regnskapstjenester, inkasso av fordringer og tilby rådgivning og annen konsulentvirksomhet. Selskapet vil også kunne delta i andre selskaper samt drive kjøp og salg av fast eiendom, maskiner og utstyr."
"931793438","SHAHEEM SHAHBAZ","ENK","Enkeltpersonforetak","59.110","Produksjon av film, video og fjernsynsprogrammer","","","","","","","false","","","Stovnerlia 47","OSLO","0983","OSLO","0301","Norge","NO","Ødegårds vei 14","LØRENSKOG","1470","LØRENSKOG","3222","Norge","NO","8200","Personlig næringsdrivende","","2023-07-28","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Film Produksjon. Sovevakt."
"916760302","DV-EIENDOM AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","Boks 75","KRISTIANSAND S","4661","KRISTIANSAND","4204","Norge","NO","Festningsgata 8","KRISTIANSAND S","4614","KRISTIANSAND","4204","Norge","NO","2100","Private aksjeselskaper mv.","2020","2016-02-18","2016-01-26","false","","false","true","false","true","2022-06-01","false","","false","","","","","","","Bokmål","2016-01-26","Utleie av eiendom og annet som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.","Utleie av eiendom."
"920817521","MOSS KOMMUNE","KOMM","Kommune","84.110","Generell offentlig administrasjon","","","","","","","true","6404","www.moss.kommune.no","Postboks 175","MOSS","1501","MOSS","3103","Norge","NO","Kirkegata 15","MOSS","1531","MOSS","3103","Norge","NO","6500","Kommuneforvaltningen","","2018-05-05","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Kommune"
"931326252","EXPRESS TJENESTER GRINDE","ENK","Enkeltpersonforetak","77.110","Utleie og leasing av biler og andre lette motorvogner","","","","","","","false","","","","","","","","","","T.H. Skoglands gate 18","HAUGESUND","5532","HAUGESUND","1106","Norge","NO","8200","Personlig næringsdrivende","","2023-05-03","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Utleie av bobil og varebil. Konsulenttjenester."
"816884462","SAMEIET SOLSIDEN GEILO 1","ESEK","Eierseksjonssameie","","","","","","","","","false","","www.vestbo.no","c/o Vestbo/nPostboks 1947 Nordnes","BERGEN","5817","BERGEN","4601","Norge","NO","Strandgaten 196","BERGEN","5004","BERGEN","4601","Norge","NO","","","2022","2016-05-21","2016-01-13","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2016-03-03","Eierseksjonssameie","Eierseksjonssameie"
"931758225","DR. JØRGEN HOVLAND OLSEN","ENK","Enkeltpersonforetak","86.211","Allmenn legetjeneste","","","","","","","false","","","","","","","","","","Lørenveien 59A","OSLO","0585","OSLO","0301","Norge","NO","8200","Personlig næringsdrivende","","2023-07-22","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Allmennlege."
"996644138","SIGURD ORRE","ENK","Enkeltpersonforetak","01.410","Melkeproduksjon på storfe","","","","","","","true","5","","","","","","","","","Ergavegen 221","ORRE","4343","KLEPP","1120","Norge","NO","8200","Personlig næringsdrivende","","2011-03-05","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Jordbruk med hovedvekt på melkeproduksjon."
