organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"916881215","CK ENTREPRENØR AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","true","","www.nordbohus.no/sande","","","","","","","","Vebergveien 60","SANDE I VESTFOLD","3074","HOLMESTRAND","3903","Norge","NO","2016-03-12","","false","2016-03-01","","916858124",""
"972462233","ORBIT NORSK","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.650","Butikkhandel med spill og leker","","","","","","","false","","","","","","","","","","Klommestensgata 10","MOSS","1533","MOSS","3103","Norge","NO","1995-02-22","","false","1971-12-29","","947122630",""
"926236210","GRETHES HUD- OG FOTPLEIE v/Grethe T Skyrud","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.909","Andre helsetjenester","","","","","","","false","","","Hukusjøen","KIRKENÆR","2260","GRUE","3417","Norge","NO","Solørveien","KIRKENÆR","2260","GRUE","3417","Norge","NO","2020-12-21","","false","2019-01-01","","969942119",""
"929298969","SOLVERS AS KONKURSBO","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","","v/Adv. Erik Bjørn/nPostboks 374","SANDVIKA","1301","BÆRUM","3201","Norge","NO","Vendla 72","NESØYA","1397","ASKER","3203","Norge","NO","2022-06-03","","false","2022-06-03","","929298942",""
"996501647","ADECCO SOLUTIONS AS AVD MOLDE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","78.200","Utleie av arbeidskraft","","","","","","","false","","","","","","","","","","Grandfjæra 22B","MOLDE","6415","MOLDE","1506","Norge","NO","2011-02-01","","false","2010-12-31","","959934924",""
"930834572","GRINDE MASKINSERVICE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","33.120","Reparasjon av maskiner","","","","","","","false","","","","","","","","","","Tveita 14","SVEIO","5550","SVEIO","4612","Norge","NO","2023-02-16","","false","2023-01-02","","930635863",""
"928581292","BERGTOR ROALD HOLDING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","70.100","Hovedkontortjenester","false","","","","","","","","","","Svartfjellveien 931","GIBOSTAD","9372","SENJA","5530","Norge","NO","2022-01-20","","false","2021-10-19","","928408485",""
"982635527","O DRABLØS EIENDOM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Kalvøyvegen 22","ÅLESUND","6014","ÅLESUND","1508","Norge","NO","2000-11-21","","false","1995-02-19","","943009260",""
"932797003","BUSKERUD FREMSKRITTSPARTIET UNGDOM (FPU)","AAFY","Underenhet til ikke-næringsdrivende","94.920","Partipolitiske organisasjoner","","","","","","","false","","","","","","","","","","Karl Johans gate 25","OSLO","0159","OSLO","0301","Norge","NO","2024-01-09","","false","2024-01-09","","932794640",""
"971695579","MATHUSET GRIMO AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.111","Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","","","","","","","true","9","","","","","","","","","Nærbutikken Grimo/nFjordavegen 3583","GRIMO","5777","ULLENSVANG","4618","Norge","NO","1995-02-23","","false","1965-12-31","","961017599",""
"932566087","KAJ DYKK AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","77.390","Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted","","","","","","","true","","","","","","","","","","c/o Longship AS/nAkersgata 35","OSLO","0158","OSLO","0301","Norge","NO","2023-12-05","","false","2023-11-13","","932214814",""
"916330928","SJØFARTSGATA 15 AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Sjøfartsgata 15","STEINKJER","7714","STEINKJER","5006","Norge","NO","2015-12-03","","false","2015-09-28","","916322887",""
"930948675","EAM HOLDING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","00.000","Uoppgitt","","","","","","","false","","","","","","","","","","Bjørkåsen 2A","BREMNES","5430","BØMLO","4613","Norge","NO","2023-03-04","","false","2023-01-01","","930695807",""
"920095178","MAGNUSSEN OG GROSVOLD EIENDOM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Åssideveien 26","SKOLLENBORG","3619","KONGSBERG","3303","Norge","NO","2017-12-15","","false","2016-01-01","","984150342",""
"926894757","LILLE ÅSEN SKOGSHAGE PATENERE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.240","Dyrking av kjernefrukter og steinfrukter","","","","","","","false","","","","","","","","","","Lille Åsen Skogshage/nc/o Marie Patenère/nGamle Rovenvei 454","SØRUMSAND","1920","LILLESTRØM","3205","Norge","NO","2021-04-03","","false","2021-03-01","","926802216",""
"931047914","CHILLME AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.990","Detaljhandel utenom utsalgssted ellers","","","","","","","false","","","","","","","","","","Almåshaugane 40","HYLKJE","5109","BERGEN","4601","Norge","NO","2023-03-16","","false","2023-01-04","","930785148",""
"987682981","SVEIN IDAR ENSRUD","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","49.410","Godstransport på vei","","","","","","","false","","","","","","","","","","Gudbrandsdalsvegen 379","LILLEHAMMER","2624","LILLEHAMMER","3405","Norge","NO","2005-01-12","","false","2003-01-01","","970558136",""
"923229574","THORSLAND ELEKTRO KONSULENTTJENESTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.210","Elektrisk installasjonsarbeid","","","","","","","true","","","","","","","","","","Gillsveien 49","KRISTIANSAND S","4633","KRISTIANSAND","4204","Norge","NO","2019-08-20","","false","2019-01-01","","920888607",""
"813636212","VITUSAPOTEK BARCODE  BJØRVIKA","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.730","Butikkhandel med apotekvarer","","","","","","","true","","","Dronning Eufemias gate 16","OSLO","0191","OSLO","0301","Norge","NO","Trelastgata 9","OSLO","0191","OSLO","0301","Norge","NO","2014-05-15","","false","2014-08-14","","965336796",""
"991407952","ELTEL NETWORKS AS AVD VEFSN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","42.220","Bygging av anlegg for elektrisitet og telekommunikasjon","","","","","","","true","5","","","","","","","","","Nyrudvegen 8B","MOSJØEN","8657","VEFSN","1824","Norge","NO","2007-06-25","","false","2007-01-01","2016-03-01","912955915",""
"925479055","PETREACA MIHAI","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.211","Allmenn legetjeneste","","","","","","","false","","","","","","","","","","Skogstjerneveien 13","NAMSSKOGAN","7890","NAMSSKOGAN","5044","Norge","NO","2020-08-13","","false","2020-07-21","","925410993",""
"925668672","CAMILLA MARTINUSSEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.430","Oppdrett av hester og andre dyr av hestefamilien","","","","","","","false","","","","","","","","","","Hamnesveien 52","SANDNESSJØEN","8804","ALSTAHAUG","1820","Norge","NO","2020-09-21","","false","2020-07-01","","925297410",""
"812710532","KETIL HORN SERVICES","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","false","","","","","","","","","","Thereses gate 6B","OSLO","0452","OSLO","0301","Norge","NO","2013-11-12","","false","2013-01-01","","996786323",""
"931510541","FIRE FIGHTING SYSTEMS MARINE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","46.694","Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers","","","","","","","false","","","","","","","","","","Årvollskogen 21","MOSS","1529","MOSS","3103","Norge","NO","2023-06-03","","false","2023-02-23","","931366114",""
"928871789","OLIEGREEN ANLEGGSTJENESTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.120","Grunnarbeid","","","","","","","false","","","","","","","","","","Grokleiv 48","ÅSERAL","4540","ÅSERAL","4224","Norge","NO","2022-03-04","","false","2022-01-27","","928698408",""
"815943252","SA SALG AS AVD TRONDHEIM","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","80.200","Tjenester tilknyttet vakttjenester","","","","","82.202","Telefonsalg","true","","","","","","","","","","Brøsetvegen 186A","TRONDHEIM","7050","TRONDHEIM","5001","Norge","NO","2015-09-19","","false","2015-01-01","","993049166",""
"971719400","KJENAAS TRANSPORT AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","49.410","Godstransport på vei","","","","","","","true","","","","","","","","","","Enga 61","SVENE","3622","FLESBERG","3334","Norge","NO","1995-02-22","","false","1965-12-31","2005-01-02","988236926",""
"989154109","DIN BOLIG AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.109","Utvikling og salg av egen fast eiendom ellers","","","","","","","true","6","","Postboks 69","ØRSTA","6151","ØRSTA","1520","Norge","NO","Vikegeila 12","ØRSTA","6150","ØRSTA","1520","Norge","NO","2005-12-21","","false","2005-11-17","","988973424",""
"924729104","ØVRE LANGLETE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","55.202","Drift av ferieleiligheter","","","","","","","false","","","","","","","","","","c/o May-Helen Pedersen Strømsmo/nHaltdalsvegen 1680","HALTDALEN","7383","HOLTÅLEN","5026","Norge","NO","2020-03-10","","false","2020-02-18","","924641053",""
"922685703","HAMKON Bjørnar Hamstad","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","71.121","Byggeteknisk konsulentvirksomhet","","","","","","","false","","","","","","","","","","Varmbuvegen 228","MELHUS","7224","MELHUS","5028","Norge","NO","2019-05-02","","false","2019-01-01","","996655288",""
"977083923","COOP NORDVEST SA (3135) COOP BYGGMIX AURE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.521","Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer","","","","","","","true","6","","Postboks 130","ORKANGER","7302","ORKLAND","5059","Norge","NO","Meierivegen 10","AURE","6690","AURE","1576","Norge","NO","1997-01-13","","false","1988-01-01","1998-01-01","942763654",""
