organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"931414224","GAUSDAL LANDHANDLERI AS AVD KONGSBERG","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.521","Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer","46.739","Engroshandel med byggevarer ikke nevnt annet sted","","","","","true","7","","","","","","","","","Dyrmyrgata 45","KONGSBERG","3611","KONGSBERG","3303","Norge","NO","2023-05-16","","false","2023-05-11","","976485963",""
"924077360","HAGEBYVEIEN 47","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","","","","","","","","","Hagebyveien 47","HARSTAD","9404","HARSTAD","5503","Norge","NO","2019-12-12","","false","","","915148824",""
"928912477","SALUM AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","90.019","Utøvende kunstnere og underholdningsvirksomhet ikke nevnt annet sted","","","","","","","false","","","","","","","","","","Nattlandsveien 79C","BERGEN","5094","BERGEN","4601","Norge","NO","2022-03-12","","false","2022-02-08","","915148824",""
"932416670","TOM SMOLAN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.919","Postordre-/Internetthandel med annet spesialisert vareutvalg","","","","","","","false","","","","","","","","","","Kvamsvegen 642","STEINKJER","7724","STEINKJER","5006","Norge","NO","2023-11-07","","false","2023-10-18","","932353288",""
"988606200","CHRISTIAN KVERNSVEEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.110","Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster","02.200","Avvirkning","","","","","false","","","","","","","","","","Rakeievegen 409","ÅRNES","2150","NES","3228","Norge","NO","2005-09-03","","false","2005-09-01","","932353288",""
"822457282","SKJOMDALEN GRENDEHUS","AAFY","Underenhet til ikke-næringsdrivende","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","c/o Ann-Mari Bogholm/nPrestjordhaugen 13","BJERKVIK","8530","NARVIK","1806","Norge","NO","Gamnes","SKJOMEN","8523","NARVIK","1806","Norge","NO","2019-03-25","","false","","","920631797",""
"930745316","BRURKNATTEN AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","true","","","","","","","","","","Molandsveien 471","ARENDAL","4849","ARENDAL","4203","Norge","NO","2023-01-31","","false","2023-01-02","","920631797",""
"996871398","BRINGSVOR CONSULTING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","62.020","Konsulentvirksomhet tilknyttet informasjonsteknologi","","","","","","","true","","www.bringsvor.com","Klostergata 4","OSLO","0656","OSLO","0301","Norge","NO","Leina 38B","SANDSHAMN","6089","SANDE","1514","Norge","NO","2011-05-02","","false","2011-04-05","","996835243",""
"813216892","KS BRANNVERN & FØRSTEHJELP Kjetil Skamsar","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","85.599","Annen undervisning ikke nevnt annet sted","","","","","","","false","","","","","","","","","","Gamle Rovenvei 220","FETSUND","1900","LILLESTRØM","3205","Norge","NO","2014-02-17","","false","2013-01-01","","983588824",""
"929831497","CENTRUM HUD OG FOTTERAPISALONG","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","96.020","Frisering og annen skjønnhetspleie","","","","","","","false","","","Sørensvingen 18","DRAMMEN","3028","DRAMMEN","3301","Norge","NO","Inngang Schwenckegata/nNedre Storgate 13","DRAMMEN","3015","DRAMMEN","3301","Norge","NO","2005-02-22","","false","2005-02-01","","983588824",""
